[LineInfoData]
IDNUM McNum McMdln McName StartBeam BeamNum Pass SecMntHld PrevMachine NextMachine
17 1 0x51400 "NPM-1" 1 2 0 0 0 3
18 2 0x51200 "NPM-2" 3 2 0 0 3 3
19 3 0x52200 "NPM-3" 5 2 0 0 3 3
20 4 0x52100 "NPM-4" 7 2 0 0 3 3
21 5 0x52200 "NPM-5" 9 2 0 0 3 0

[BeamData]
IDNUM Head NzlChg BulkFdr StickFdr CutUnit Ccamera Camera LeadChk Sensor3D BGACSP SPNzl LoadCntl TrayMagazine DblFdrUse HeadType NzlChgKind NzlSlots NzlBigSlots Flux ConvTime DHHighScan FdrTblType FdrSlots FrameType TraySlots TraySize EjCnv Stage ExConv ExBigNzl Lane SlowDown TM Hs8NzlChg PCBWarpMeasurement HighSpd HeightSensor AutoPinChg ConvLen CustomTray NPMExConvL NPMExConvR ThinTypeSingleFdr TallComp PIP COAXIAL LeadAdjust HeadCamera PcbHolder LCR BackLight PartsBCR CompactCart TrayStocker EnvAdjust GangTkup SlotNumbering FixLoad1N HPM1 HPM2
1 1 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 17 0 0 0 0 3 0 0 14 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
302181 302181 1 1 2.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 2 0 1 0
302182 302182 1 1 4.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 2 0 1 0
302183 302183 1 2 8.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 2 0 1 0
302184 302184 1 1 12.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 2 0 1 0
302185 302185 1 1 16.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 2 0 1 0
302186 302186 1 1 20.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 2 0 1 0
302187 302187 1 1 24.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 2 0 1 0
302188 302188 1 1 28.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 2 0 1 0
302189 302189 1 1 32.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 2 0 1 0
302190 302190 1 1 36.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 2 0 1 0
302191 302191 1 1 40.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 2 0 1 0
302192 302192 1 1 1.000 3018 -4.000 1.500 0.000 0.000 0.000 0.000 8 1 1 2 0 1 0
302321 302321 1 1 2.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 1 0 1 0
302322 302322 1 1 4.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 1 0 1 0
302323 302323 1 1 8.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 1 0 1 0
302324 302324 1 1 12.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 1 0 1 0
302325 302325 1 1 16.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 1 0 1 0
302326 302326 1 1 20.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 1 0 1 0
302327 302327 1 1 24.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 1 0 1 0
302328 302328 1 1 28.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 1 0 1 0
302329 302329 1 1 32.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 1 0 1 0
302330 302330 1 1 36.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 1 0 1 0
302331 302331 1 1 40.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 1 0 1 0
302335 302335 1 1 1.000 3001 -4.000 1.500 6.500 1.500 0.000 0.000 8 2 0 1 0 1 0
302341 302341 1 1 2.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 1 0 1 0
302342 302342 1 1 4.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 1 0 1 0
302343 302343 1 1 8.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 1 0 1 0
302344 302344 1 1 12.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 1 0 1 0
302345 302345 1 1 16.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 1 0 1 0
302346 302346 1 1 20.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 1 0 1 0
302347 302347 1 1 24.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 1 0 1 0
302348 302348 1 1 28.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 1 0 1 0
302349 302349 1 1 32.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 1 0 1 0
302350 302350 1 1 36.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 1 0 1 0
302351 302351 1 1 40.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 1 0 1 0
302355 302355 1 1 1.000 3001 -4.000 1.500 6.500 1.500 0.000 0.000 8 2 1 1 0 1 0
302481 302481 1 1 2.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 2 0 1 0
302482 302482 1 1 4.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 2 0 1 0
302483 302483 1 1 8.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 2 0 1 0
302484 302484 1 1 12.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 2 0 1 0
302485 302485 1 1 16.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 2 0 1 0
302486 302486 1 1 20.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 2 0 1 0
302487 302487 1 1 24.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 2 0 1 0
302488 302488 1 1 28.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 2 0 1 0
302489 302489 1 1 32.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 2 0 1 0
302490 302490 1 1 36.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 2 0 1 0
302491 302491 1 1 40.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 0 2 0 1 0
302495 302495 1 1 1.000 3001 -4.000 1.500 6.500 1.500 0.000 0.000 8 2 0 2 0 1 0
302501 302501 1 1 2.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 2 0 1 0
302502 302502 1 1 4.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 2 0 1 0
302503 302503 1 1 8.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 2 0 1 0
302504 302504 1 1 12.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 2 0 1 0
302505 302505 1 1 16.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 2 0 1 0
302506 302506 1 1 20.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 2 0 1 0
302507 302507 1 1 24.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 2 0 1 0
302508 302508 1 1 28.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 2 0 1 0
302509 302509 1 1 32.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 2 0 1 0
302510 302510 1 1 36.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 2 0 1 0
302511 302511 1 1 40.000 3001 -4.000 2.500 6.500 2.500 0.000 0.000 8 2 1 2 0 1 0
302515 302515 1 1 1.000 3001 -4.000 1.500 6.500 1.500 0.000 0.000 8 2 1 2 0 1 0
302821 302821 1 1 2.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 1 1 0 1 0
302822 302822 1 1 4.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 1 1 0 1 0
302823 302823 1 1 8.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 1 1 0 1 0
302824 302824 1 1 12.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 1 1 0 1 0
302825 302825 1 2 16.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 1 1 0 1 0
302826 302826 1 1 20.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 1 1 0 1 0
302827 302827 1 1 24.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 1 1 0 1 0
302828 302828 1 1 28.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 1 1 0 1 0
302829 302829 1 1 32.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 1 1 0 1 0
302830 302830 1 1 36.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 1 1 0 1 0
302831 302831 1 1 40.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 1 1 0 1 0
302845 302845 1 2 16.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 3 1 0 1 0
302961 302961 1 1 2.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 0 2 0 1 0
302962 302962 1 1 4.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 0 2 0 1 0
302963 302963 1 1 8.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 0 2 0 1 0
302964 302964 1 1 12.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 0 2 0 1 0
302965 302965 1 1 16.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 0 2 0 1 0
302966 302966 1 1 20.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 0 2 0 1 0
302967 302967 1 1 24.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 0 2 0 1 0
302968 302968 1 1 28.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 0 2 0 1 0
302969 302969 1 1 32.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 0 2 0 1 0
302970 302970 1 1 36.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 0 2 0 1 0
302971 302971 1 1 40.000 3002 -0.750 -13.500 0.000 0.000 0.000 0.000 12 3 0 2 0 1 0
