[LineInfoData]
IDNUM McNum McMdln McName StartBeam BeamNum Pass SecMntHld PrevMachine NextMachine
1 1 0x71100 "NPM-DX-1" 1 4 0 0 0 3
2 2 0x52100 "NPM-2" 5 2 0 0 3 3
3 3 0x52100 "NPM-3" 7 2 0 0 3 3
4 4 0x52200 "NPM-4" 9 2 0 0 3 0

[BeamData]
IDNUM Head NzlChg BulkFdr StickFdr CutUnit Ccamera Camera LeadChk Sensor3D BGACSP SPNzl LoadCntl TrayMagazine DblFdrUse HeadType NzlChgKind NzlSlots NzlBigSlots Flux ConvTime DHHighScan FdrTblType FdrSlots FrameType TraySlots TraySize EjCnv Stage ExConv ExBigNzl Lane SlowDown TM Hs8NzlChg PCBWarpMeasurement HighSpd HeightSensor AutoPinChg ConvLen CustomTray NPMExConvL NPMExConvR ThinTypeSingleFdr TallComp PIP COAXIAL LeadAdjust HeadCamera PcbHolder LCR BackLight PartsBCR CompactCart TrayStocker EnvAdjust GangTkup SlotNumbering FixLoad1N HPM1 HPM2
1 1 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 17 0 0 0 0 1 0 0 13 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 17 0 0 0 0 1 0 0 13 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
3 3 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 17 0 0 0 0 0 0 0 13 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
4 4 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 17 0 0 0 0 0 0 0 13 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
5 5 1 0 0 1 1 1 0 0 0 0 0 0 2 17 0 32 0 0 100 0 3 30 0 0 0 0 3 0 0 9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
6 6 1 0 0 1 1 1 0 0 0 0 0 0 2 17 0 32 0 0 100 0 3 30 0 0 0 0 3 0 0 9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
7 7 1 0 1 1 1 1 0 0 1 0 0 0 2 14 1 16 0 0 100 0 3 30 0 0 0 0 3 0 0 9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
8 8 1 0 0 1 1 1 0 0 0 0 0 0 2 17 0 32 0 0 100 0 3 30 0 0 0 0 3 0 0 9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
9 9 1 0 1 1 1 3 0 1 1 0 1 0 2 34 6 15 0 0 100 0 3 30 0 0 0 0 3 0 0 1 0 4 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
10 10 1 0 0 0 1 3 0 1 1 0 1 1 2 34 6 15 0 0 100 0 6 0 0 40 0 0 3 0 0 1 0 4 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0

[FdrTblMode]
IDNUM Head NowStation FdrTblMode Pass Type TapeCutLength
1 1 2 JOINT NO 0 0
2 2 2 JOINT NO 0 0
3 3 2 JOINT NO 0 0
4 4 2 JOINT NO 0 0
5 5 2 JOINT NO 0 0
6 6 2 JOINT NO 0 0
7 7 2 JOINT NO 0 0
8 8 2 JOINT NO 0 0
9 9 2 JOINT NO 0 0
10 10 2 JOINT NO 0 0

[OptimizeOptionsPerBeam]
IDNUM Head OptOptions CarryoverDiffNum OnlineSetupFeederNum
1 1 "00000000" 0 0
2 2 "00000000" 0 0
3 3 "00000000" 0 0
4 4 "00000000" 0 0
5 5 "00000000" 0 0
6 6 "00000000" 0 0
7 7 "00000000" 0 0
8 8 "00000000" 0 0
9 9 "00000000" 0 0
10 10 "00000000" 0 0

[LotNames]
IDNUM LotNum Lot MCFileName Filter AutoChg BaseChg Lane ProductionID SimProduct DGSPCBName DGSPCBRev DGSPCBSide DGSRefPin C DataGenMode MountHead VSTPath Order TargetTact C2
1048 1 "testoled-v2" "testoled-v2" 0 0 0 0 "" 0 "new-5line" "1" "T" "" "" 0 0 "" 0 0 ""

[ArrangementGroupProducts]
IDNUM Group Lot SameGroup
1048 1 1 0

[ArrangementGroupCondValue<1>]
Value1=""
Value2=""
Value3=""
Value4=""
Value5=""
Value6=""
Value7=""
Value8=""
Value9=""
Value10=""

[PartsDataEx]
IDNUM NAME LNAME REELS SKIP NoAutoDivide Alt AltNum NoArrange
161 "0CC560BK41A" "ohm" 1 0 0 0 0 0
163 "EAE62772301" "ohm" 1 0 0 0 0 0
171 "EAN65585801" "ohm" 1 0 0 0 0 0
190 "EAH64894901" "ohm" 1 0 0 0 0 0
199 "EBC62582710" "ohm" 1 0 0 0 0 0
203 "0RH1002C422" "ohm" 1 0 0 0 0 0
209 "EAH65079001" "ohm" 1 0 0 0 0 0
210 "EAP65276501" "ohm" 1 0 0 0 0 0
211 "EBK65195101" "ohm" 1 0 0 0 0 0
227 "EAF61630101" "ohm" 1 0 0 0 0 0
232 "0RJ2202C478" "ohm" 1 0 0 0 0 0
240 "0RJ1402C478" "ohm" 1 0 0 0 0 0
243 "0RJ5101C478" "ohm" 1 0 0 0 0 0
246 "EAE32246001" "ohm" 1 0 0 0 0 0
262 "0RJ8201C478" "ohm" 1 0 0 0 0 0
265 "0RJ2000C678" "ohm" 1 0 0 0 0 0
267 "0RJ2701C678" "ohm" 1 0 0 0 0 0
275 "EAN64429401" "ohm" 1 0 0 0 0 0
276 "EAN64432302" "ohm" 1 0 0 0 0 0
286 "EBK64051601" "ohm" 1 0 0 0 0 0
307 "EAH65088801" "ohm" 1 0 0 0 0 0
322 "0RZZH033273" "ohm" 1 0 0 0 0 0
323 "EAE62082801" "ohm" 1 0 0 0 0 0
324 "EAH64532601" "ohm" 1 0 0 0 0 0
325 "EAH65079401" "ohm" 1 0 0 0 0 0
328 "EAN66321201" "ohm" 1 0 0 0 0 0
332 "EBK65195001" "ohm" 1 0 0 0 0 0
333 "0RH0101G622" "ohm" 1 0 0 0 0 0
369 "0RJ1803C478" "ohm" 1 0 0 0 0 0
400 "0CC221BKFAA" "ohm" 1 0 0 0 0 0
410 "0RJ0391E472" "ohm" 1 0 0 0 0 0
428 "0CK471BK56A" "ohm" 1 0 0 0 0 0
439 "EAH65065001" "ohm" 1 0 0 0 0 0
441 "0RH2701C422" "ohm" 1 0 0 0 0 0
443 "EBK65194901" "ohm" 1 0 0 0 0 0
447 "EAG66129808" "ohm" 1 0 0 0 0 0
448 "EAG66765701" "ohm" 1 0 0 0 0 0
449 "EAG61090216" "ohm" 1 0 0 0 0 0
450 "EAG61090215" "ohm" 1 0 0 0 0 0
454 "EBC62997001" "ohm" 1 0 0 0 0 0
459 "0RJ4703C478" "ohm" 1 0 0 0 0 0
463 "EAN64429402" "ohm" 1 0 0 0 0 0
465 "EAP65276404" "ohm" 1 0 0 0 0 0
467 "EAE66302101" "ohm" 1 0 0 0 0 0
472 "EAW64262701" "ohm" 1 0 0 0 0 0
473 "EAE66332901" "ohm" 1 0 0 0 0 0
475 "EAN66534401" "ohm" 1 0 0 0 0 0
477 "EAN66549001" "ohm" 1 0 0 0 0 0
480 "EAP65276412" "ohm" 1 0 0 0 0 0
486 "EAN66482301" "ohm" 3 0 0 0 0 0
488 "EAG66129904" "ohm" 1 0 0 0 0 0
496 "EAP65276414" "ohm" 1 0 0 0 0 0
498 "EAN66602901" "ohm" 1 0 0 0 0 0
499 "EAH65079101" "ohm" 1 0 0 0 0 0
510 "EAM65804601" "ohm" 1 0 0 0 0 0
512 "0RH9101C422" "ohm" 1 0 0 0 0 0
517 "0RJ2001D477" "ohm" 1 0 0 0 0 0
518 "EAE66354401" "ohm" 2 0 0 0 0 0
519 "EAN66583501" "ohm" 1 0 0 0 0 0
521 "EAM65804603" "ohm" 1 0 0 0 0 0
531 "0RH5101C422" "ohm" 1 0 0 0 0 0
533 "0RJ7501C477" "ohm" 1 0 0 0 0 0
536 "EBC62582704" "ohm" 1 0 0 0 0 0
537 "0CC271BK4AA" "ohm" 1 0 0 0 0 0
539 "EAE66354501" "ohm" 1 0 0 0 0 0
541 "EAN65806202" "ohm" 1 0 0 0 0 0
546 "EBK65212101" "ohm" 1 0 0 0 0 0
549 "EAF64547504" "ohm" 1 0 0 0 0 0
550 "EAN66482501" "ohm" 1 0 0 0 0 0
581 "EAN66333801" "ohm" 1 0 0 0 0 0
602 "EAE60659102" "ohm" 1 0 0 0 0 0
670 "EAE66279001" "ohm" 1 0 0 0 0 0
678 "0RJ0752D477" "ohm" 1 0 0 0 0 0
682 "EAM00023902" "ohm" 1 0 0 0 0 0
684 "EAN66586401" "ohm" 1 0 0 0 0 0
686 "EAP65276418" "ohm" 1 0 0 0 0 0
687 "EAP65276429" "ohm" 1 0 0 0 0 0
688 "EAP65289605" "ohm" 1 0 0 0 0 0
690 "EBJ30065002" "ohm" 1 0 0 0 0 0
707 "EAN00985801" "ohm" 5 0 0 0 0 0
712 "0RH5102C422" "ohm" 1 0 0 0 0 0
716 "EAN66317603" "ohm" 1 0 0 0 0 0
719 "EAG00474201" "ohm" 1 0 0 0 0 0
722 "EAM00023901" "ohm" 1 0 0 0 0 0
737 "EAP65289602" "ohm" 1 0 0 0 0 0
818 "EAG00474202" "ohm" 1 0 0 0 0 0

[NozzleMaxData]
